cokey,chkey,hzname,hzdept_r,hzdepb_r,om_l,om_r,om_h,cec7_l,cec7_r,cec7_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,awc_r,ksat_r,dbthirdbar_r,mukey,compname,comppct_r,drainagecl,taxorder,taxgrtgroup,musym,muname,sand_pct,silt_pct,clay_pct
26819665,80053401,Ap,0,18,2.0,2.5,3.0,9.1,13.3,17.3,5.1,6.2,7.3,0.19,9.17,1.3,557326,Lehigh,80,Moderately well drained,Alfisols,Hapludalfs,1LmB,"Lehigh silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819667,80053409,Ap,0,20,3.0,5.0,7.0,5.0,10.7,16.3,5.1,5.8,6.5,0.18,9.17,1.28,557333,Middlebury,95,Moderately well drained,Inceptisols,Eutrudepts,1Me,Middlebury silt loam,32.3,56.2,11.5
26819670,80053420,A,0,23,1.0,2.5,4.0,3.7,5.6,7.4,5.4,6.1,6.9,0.14,9.17,1.35,557335,Murrill,90,Well drained,Ultisols,Hapludults,1MuB,"Murrill gravelly loam, 3 to 8 percent slopes",44.3,40.7,15.0
26819673,80053431,Ap,0,23,1.0,2.5,4.0,3.7,5.6,7.4,5.4,6.1,6.9,0.14,9.17,1.35,557336,Murrill,90,Well drained,Ultisols,Hapludults,1MuC,"Murrill gravelly loam, 8 to 15 percent slopes",44.3,40.7,15.0
26819677,80053448,Ap,0,23,2.0,3.0,4.0,9.1,15.8,21.4,5.4,6.1,6.9,0.18,9.17,1.3,557337,Neshaminy,97,Well drained,Alfisols,Hapludalfs,1NaB,"Neshaminy silt loam, 3 to 8 percent slopes",27.3,54.7,18.0
26819679,80053456,Ap,0,23,2.0,3.0,4.0,9.1,15.8,21.4,5.4,6.1,6.9,0.18,9.17,1.3,557338,Neshaminy,95,Well drained,Alfisols,Hapludalfs,1NaC,"Neshaminy silt loam, 8 to 15 percent slopes",27.3,54.7,18.0
26819681,80053464,A,0,28,3.0,4.0,5.0,,,,4.2,5.4,6.6,0.16,9.17,1.3,557342,Neshaminy,95,Well drained,Alfisols,Hapludalfs,1NhB,"Neshaminy gravelly silt loam, 0 to 8 percent slopes, extremely bouldery",30.1,54.9,15.0
26819682,80053468,A,0,28,3.0,4.0,5.0,,,,4.5,5.4,6.6,0.16,9.17,1.3,557343,Neshaminy,97,Well drained,Alfisols,Hapludalfs,1NhD,"Neshaminy gravelly silt loam, 8 to 25 percent slopes, extremely bouldery",30.1,54.9,15.0
26819684,80053475,Ap,0,20,1.0,2.0,3.0,5.5,8.2,11.0,5.1,6.2,7.3,0.2,23.29,1.3,557345,Ryder,30,Well drained,Alfisols,Hapludalfs,1DfC,"Duffield-Ryder silt loams, 8 to 15 percent slopes",22.4,55.1,22.5
26819687,80053486,Ap,0,25,2.0,3.0,4.0,8.2,12.2,16.3,6.1,6.7,7.3,0.19,9.17,1.25,557345,Duffield,60,Well drained,Alfisols,Hapludalfs,1DfC,"Duffield-Ryder silt loams, 8 to 15 percent slopes",22.4,55.1,22.5
26819691,80053501,Ap,0,25,2.0,3.0,4.0,8.2,12.2,16.3,6.1,6.7,7.3,0.19,9.17,1.25,557346,Duffield,50,Well drained,Alfisols,Hapludalfs,1DfD,"Duffield-Ryder silt loams, 15 to 25 percent slopes",22.4,55.1,22.5
26819693,80053509,Ap,0,20,1.0,2.0,3.0,5.5,8.2,11.0,5.1,6.2,7.3,0.2,23.29,1.3,557346,Ryder,40,Well drained,Alfisols,Hapludalfs,1DfD,"Duffield-Ryder silt loams, 15 to 25 percent slopes",22.4,55.1,22.5
26819571,80053075,Ap,0,20,2.0,3.5,5.0,9.1,13.4,17.7,6.1,6.7,7.3,0.18,9.17,1.3,557347,Towhee,96,Poorly drained,Alfisols,Fragiaqualfs,1ToA,"Towhee silt loam, 0 to 3 percent slopes",30.1,54.9,15.0
26819574,80053081,H1,0,152,,,,,,,,,,0.0,,,558453,Rock outcrop,100,,,,Rc,Rock outcrop,,,0.0
26819575,80053082,A,0,20,1.0,2.0,3.0,15.0,22.0,25.0,4.5,5.5,6.5,0.21,7.76,1.3,558454,Watchung,90,Poorly drained,Alfisols,Albaqualfs,WbB,"Watchung extremely stony silt loam, 0 to 8 percent slopes",30.4,55.4,14.2
