"Loam"||"162489710"|"165257029"
"Clay"||"162489711"|"165257085"
"Silty clay"||"162489712"|"165257084"
"Silty clay loam"||"162489713"|"165257083"
"Clay"||"162489714"|"165257082"
"Silty clay"||"162489715"|"165257081"
"Loam"||"162489716"|"165257080"
"Silt loam"||"162489717"|"165257079"
"Loam"||"162489718"|"165257078"
"Sandy loam"||"162489719"|"165257077"
"Sandy loam"||"162489720"|"165257076"
"Clay loam"||"162489721"|"165257075"
"Loam"||"162489722"|"165257074"
"Loam"||"162489723"|"165257073"
"Sandy loam"||"162489724"|"165257072"
|"Unweathered bedrock"|"162489725"|"165257030"
"Loam"||"162489726"|"165257031"
"Loam"||"162489727"|"165257032"
"Silt loam"||"162489728"|"165257033"
"Silt loam"||"162489729"|"165257034"
"Silt loam"||"162489730"|"165257035"
"Silty clay loam"||"162489731"|"165257036"
"Loam"||"162489732"|"165257037"
"Silty clay loam"||"162489733"|"165257071"
"Silt loam"||"162489734"|"165257070"
"Loam"||"162489735"|"165257038"
"Clay"||"162489736"|"165257039"
"Silty clay loam"||"162489737"|"165257040"
"Silty clay"||"162489738"|"165257041"
"Loam"||"162489739"|"165257042"
"Silt loam"||"162489740"|"165257043"
|"Unweathered bedrock"|"162489741"|"165257044"
"Silt loam"||"162489742"|"165257045"
"Silty clay"||"162489743"|"165257046"
"Clay"||"162489744"|"165257047"
"Silty clay loam"||"162489745"|"165257048"
"Silty clay loam"||"162489746"|"165257049"
"Silty clay"||"162489747"|"165257050"
"Clay"||"162489748"|"165257051"
|"Weathered bedrock"|"162489749"|"165257052"
"Silt loam"||"162489750"|"165257053"
"Clay loam"||"162489751"|"165257054"
"Silt loam"||"162489752"|"165257055"
"Silty clay loam"||"162489753"|"165257056"
"Silt loam"||"162489754"|"165257057"
"Silty clay loam"||"162489755"|"165257058"
"Loam"||"162489756"|"165257059"
|"Weathered bedrock"|"162489757"|"165257060"
"Silt loam"||"162489758"|"165257061"
"Silt loam"||"162489759"|"165257062"
"Loam"||"162489760"|"165257063"
"Silty clay loam"||"162489761"|"165257064"
"Loam"||"162489762"|"165257065"
"Silt loam"||"162489763"|"165257066"
|"Weathered bedrock"|"162489764"|"165257067"
"Loam"||"162489765"|"165257068"
"Loam"||"162489766"|"165257069"
"Silt loam"||"162489767"|"165257142"
"Silt loam"||"162489768"|"165257143"
"Loam"||"162489769"|"165257144"
"Loam"||"162489770"|"165257145"
"Silt loam"||"162489771"|"165257146"
"Silt loam"||"162489772"|"165257147"
"Silty clay loam"||"162489773"|"165257148"
"Silt loam"||"162489774"|"165257149"
"Loam"||"162489775"|"165257150"
"Silty clay loam"||"162489776"|"165257151"
"Silt loam"||"162489777"|"165257152"
"Loam"||"162489778"|"165257153"
|"Weathered bedrock"|"162489779"|"165257154"
"Silt loam"||"162489780"|"165257155"
"Clay loam"||"162489781"|"165257156"
"Silt loam"||"162489782"|"165257157"
"Silty clay loam"||"162489783"|"165257158"
"Silt loam"||"162489784"|"165257159"
"Silty clay loam"||"162489785"|"165257160"
"Loam"||"162489786"|"165257161"
|"Unweathered bedrock"|"162489787"|"165257162"
"Silt loam"||"162489788"|"165257163"
"Silty clay"||"162489789"|"165257164"
"Clay"||"162489790"|"165257165"
"Silty clay loam"||"162489791"|"165257166"
"Silty clay loam"||"162489792"|"165257167"
"Silty clay"||"162489793"|"165257168"
"Clay"||"162489794"|"165257169"
|"Weathered bedrock"|"162489795"|"165257170"
"Loam"||"162489796"|"165257171"
"Loam"||"162489797"|"165257172"
"Silt loam"||"162489798"|"165257173"
"Silt loam"||"162489799"|"165257174"
"Loam"||"162489800"|"165257175"
"Loam"||"162489801"|"165257176"
"Silt loam"||"162489802"|"165257177"
"Silt loam"||"162489803"|"165257178"
"Silty clay loam"||"162489804"|"165257179"
"Silt loam"||"162489805"|"165257180"
"Loam"||"162489806"|"165257181"
"Silty clay loam"||"162489807"|"165257182"
"Silt loam"||"162489808"|"165257183"
"Loam"||"162489809"|"165257184"
|"Weathered bedrock"|"162489810"|"165257185"
