|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819525"|"138873709"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819525"|"138873631"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819525"|"138873574"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819525"|"138873442"
|3||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"26819525"|"138873427"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819525"|"138873398"
|3||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819525"|"138873365"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819525"|"138873327"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819525"|"138873239"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819525"|"138873176"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819844"|"138873138"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819844"|"138873206"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819844"|"138873247"
|4||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819844"|"138873370"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819844"|"138873411"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819844"|"138873480"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819844"|"138873535"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819844"|"138873595"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819844"|"138873639"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819844"|"138873721"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819844"|"138873784"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819844"|"138873848"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819846"|"138873183"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819846"|"138873248"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819846"|"138873332"
|3||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819846"|"138873371"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819846"|"138873412"
|3||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"26819846"|"138873433"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819846"|"138873448"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819846"|"138873536"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819846"|"138873640"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819846"|"138873722"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819846"|"138873818"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819846"|"138873849"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819849"|"138873184"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819849"|"138873249"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819849"|"138873333"
|3||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819849"|"138873372"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819849"|"138873413"
|3||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"26819849"|"138873434"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819849"|"138873449"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819849"|"138873537"
