"2"|"26819864"|"6044161"
"2"|"26819459"|"6044112"
"2"|"26819467"|"6044113"
"2"|"26819491"|"6044114"
"2"|"26819493"|"6044115"
"2"|"26819831"|"6044157"
"2"|"26819504"|"6044116"
"2"|"26819518"|"6044117"
"2"|"26819845"|"6044159"
"2"|"26819851"|"6044160"
"2"|"26819740"|"6044145"
"2"|"26819872"|"6044162"
"3"|"26819872"|"6044164"
"4"|"26819872"|"6044163"
"2"|"26819842"|"6044158"
"2"|"26819567"|"6044118"
"2"|"26819570"|"6044119"
"4"|"26819570"|"6044120"
"2"|"26819753"|"6044146"
"2"|"26819754"|"6044147"
"2"|"26819579"|"6044124"
"3"|"26819579"|"6044125"
"2"|"26819581"|"6044126"
"2"|"26819890"|"6044166"
"2"|"26819891"|"6044167"
"2"|"26819610"|"6044127"
"2"|"26819879"|"6044165"
"2"|"26819615"|"6044128"
"2"|"26819617"|"6044129"
"2"|"26819789"|"6044148"
"2"|"26819793"|"6044149"
"2"|"26819650"|"6044130"
"2"|"26819655"|"6044131"
"2"|"26819656"|"6044132"
"2"|"26819800"|"6044150"
"2"|"26819803"|"6044151"
"2"|"26819806"|"6044152"
"2"|"26819809"|"6044153"
"2"|"26819812"|"6044154"
"2"|"26819815"|"6044155"
"2"|"26819819"|"6044156"
"2"|"26819661"|"6044133"
"2"|"26819663"|"6044134"
"2"|"26819666"|"6044136"
"4"|"26819666"|"6044135"
"2"|"26819669"|"6044137"
"2"|"26819672"|"6044138"
"2"|"26819676"|"6044139"
"2"|"26819678"|"6044140"
"2"|"26819680"|"6044141"
"2"|"26819683"|"6044142"
"2"|"26819685"|"6044143"
"2"|"26819689"|"6044144"
"2"|"26819571"|"6044121"
"2"|"26819575"|"6044122"
"2"|"26819577"|"6044123"
