|"Side Slope"|||"43194900"|"17087898"
|"Interfluve"|||"43194899"|"17087896"
|"Side Slope"|||"43194899"|"17087897"
|"Side Slope"|||"43194898"|"17087895"
|"Nose Slope"|||"43194897"|"17087894"
|"Side Slope"|||"43194897"|"17087893"
|"Side Slope"|||"43194896"|"17087892"
|"Side Slope"|||"43194895"|"17087891"
|"Side Slope"|||"43194894"|"17087890"
|"Nose Slope"|||"43194893"|"17087889"
|"Side Slope"|||"43194893"|"17087888"
||"Tread"||"43194892"|"17087887"
|"Base Slope"|||"43194891"|"17087886"
|"Head Slope"|||"43194889"|"17087883"
|"Side Slope"|||"43194889"|"17087882"
|"Head Slope"|||"43194890"|"17087885"
|"Side Slope"|||"43194890"|"17087884"
|"Side Slope"|||"43195240"|"17088400"
|"Side Slope"|||"43195239"|"17088399"
|"Base Slope"|||"43195238"|"17088398"
|"Side Slope"|||"43195232"|"17088390"
|"Side Slope"|||"43195231"|"17088389"
|"Base Slope"|||"43195230"|"17088388"
|"Side Slope"|||"43195229"|"17088387"
|"Side Slope"|||"43194888"|"17087881"
|"Interfluve"|||"43194887"|"17087880"
|"Interfluve"|||"43194886"|"17087877"
|"Nose Slope"|||"43194886"|"17087879"
|"Side Slope"|||"43194886"|"17087878"
|"Nose Slope"|||"43194885"|"17087875"
|"Side Slope"|||"43194885"|"17087876"
|"Side Slope"|||"43194884"|"17087874"
|"Base Slope"|||"43194883"|"17087873"
|"Base Slope"|||"43195126"|"17088239"
|"Base Slope"|||"43195125"|"17088238"
|"Base Slope"|||"43195124"|"17088237"
|"Interfluve"|||"43195123"|"17088236"
|"Interfluve"|||"43195122"|"17088235"
|"Base Slope"|||"43195121"|"17088234"
|"Interfluve"|||"43195120"|"17088233"
|"Base Slope"|||"43195119"|"17088232"
|"Interfluve"|||"43195118"|"17088231"
||"Tread"||"43195228"|"17088386"
|||"Talf"|"43195227"|"17088385"
|"Base Slope"|||"43195226"|"17088384"
||"Tread"||"43195225"|"17088383"
|"Base Slope"|||"43195224"|"17088382"
|||"Talf"|"43195223"|"17088381"
|"Head Slope"|||"43195222"|"17088380"
|"Side Slope"|||"43195222"|"17088379"
||"Tread"||"43195221"|"17088378"
|"Base Slope"|||"43195220"|"17088377"
|"Head Slope"|||"43195219"|"17088376"
|"Side Slope"|||"43195219"|"17088375"
|"Head Slope"|||"43195218"|"17088374"
|"Side Slope"|||"43195218"|"17088373"
||"Tread"||"43195217"|"17088372"
||"Tread"||"43195255"|"17088421"
||"Tread"||"43195254"|"17088420"
||"Tread"||"43195253"|"17088419"
|"Side Slope"|||"43195141"|"17088255"
|"Side Slope"|||"43195140"|"17088254"
|"Side Slope"|||"43195139"|"17088253"
|"Side Slope"|||"43195138"|"17088252"
|"Side Slope"|||"43195137"|"17088251"
|"Interfluve"|||"43195136"|"17088250"
|"Interfluve"|||"43195109"|"17088216"
|"Side Slope"|||"43195108"|"17088215"
|"Side Slope"|||"43195107"|"17088214"
|"Side Slope"|||"43195106"|"17088213"
|"Side Slope"|||"43195105"|"17088212"
|"Side Slope"|||"43195104"|"17088211"
|"Nose Slope"|||"43194982"|"17088020"
|"Side Slope"|||"43194982"|"17088019"
|"Head Slope"|||"43194981"|"17088018"
|"Side Slope"|||"43194981"|"17088017"
|"Base Slope"|||"43195131"|"17088245"
|"Base Slope"|||"43195129"|"17088244"
|"Base Slope"|||"43195128"|"17088243"
|"Head Slope"|||"43195127"|"17088240"
|"Interfluve"|||"43195127"|"17088242"
|"Base Slope"|||"43195127"|"17088241"
|"Interfluve"|||"43195252"|"17088418"
|"Side Slope"|||"43195252"|"17088416"
|"Base Slope"|||"43195252"|"17088417"
|"Side Slope"|||"43195251"|"17088415"
|"Interfluve"|||"43195250"|"17088414"
|"Side Slope"|||"43195250"|"17088412"
|"Base Slope"|||"43195250"|"17088413"
|"Interfluve"|||"43195249"|"17088411"
||"Tread"||"43195248"|"17088410"
|"Interfluve"|||"43195117"|"17088230"
|"Side Slope"|||"43195117"|"17088228"
|"Base Slope"|||"43195117"|"17088229"
|"Side Slope"|||"43195116"|"17088227"
|"Base Slope"|||"43195115"|"17088226"
|"Base Slope"|||"43195114"|"17088225"
