"CL"|No |"80052718"|"148110003"
"CH"|Yes|"80052719"|"148110004"
"CL"|No |"80052719"|"148110005"
"CL"|Yes|"80052720"|"148110006"
"CL-ML"|No |"80052720"|"148110007"
"CL-ML"|Yes|"80052721"|"148110008"
"GM"|No |"80052721"|"148110009"
"ML"|No |"80052721"|"148110010"
"SM"|No |"80052721"|"148110011"
"SC-SM"|Yes|"80052722"|"148110012"
"GC"|No |"80052722"|"148110013"
"GM"|No |"80052722"|"148110014"
"ML"|No |"80052722"|"148110015"
"SM"|No |"80052722"|"148110016"
"SM"|No |"80052723"|"148110021"
"GP-GM"|No |"80052723"|"148110020"
"GM"|No |"80052723"|"148110019"
"GC"|No |"80052723"|"148110018"
"SC-SM"|Yes|"80052723"|"148110017"
"CL"|No |"80052725"|"148110022"
"GM"|Yes|"80052725"|"148110023"
"ML"|No |"80052725"|"148110024"
"SM"|No |"80052725"|"148110025"
"CL-ML"|No |"80052726"|"148110026"
"ML"|Yes|"80052726"|"148110027"
"CL"|No |"80052727"|"148110028"
"GM"|No |"80052727"|"148110029"
"ML"|No |"80052727"|"148110030"
"GM"|No |"80052728"|"148110031"
"MH"|Yes|"80052728"|"148110032"
"ML"|No |"80052728"|"148110033"
"SM"|No |"80052728"|"148110034"
"CH"|No |"80052729"|"148110035"
"CL"|No |"80052729"|"148110036"
"MH"|No |"80052729"|"148110037"
"ML"|Yes|"80052729"|"148110038"
"CL"|Yes|"80052730"|"148110039"
"CL-ML"|No |"80052730"|"148110040"
"ML"|No |"80052730"|"148110041"
"CL"|Yes|"80052732"|"148110042"
"ML"|No |"80052732"|"148110043"
"CH"|No |"80052733"|"148110044"
"CL"|Yes|"80052733"|"148110045"
"GM"|No |"80052734"|"148110046"
"ML"|No |"80052734"|"148110047"
"SM"|No |"80052734"|"148110048"
"ML"|No |"80052736"|"148110051"
"CL-ML"|No |"80052736"|"148110050"
"CL"|No |"80052736"|"148110049"
"GM"|Yes|"80052737"|"148110052"
"SM"|No |"80052737"|"148110053"
"GM"|Yes|"80052738"|"148110054"
"ML"|No |"80052738"|"148110055"
"SC-SM"|No |"80052738"|"148110056"
"SM"|No |"80052738"|"148110057"
"ML"|No |"80052740"|"148110058"
"SM"|No |"80052740"|"148110059"
"GM"|No |"80052741"|"148110060"
"ML"|No |"80052741"|"148110061"
"SM"|No |"80052741"|"148110062"
"GM"|No |"80052742"|"148110063"
"ML"|No |"80052742"|"148110064"
"SM"|No |"80052742"|"148110065"
"GC"|No |"80052744"|"148110066"
"GM"|No |"80052744"|"148110067"
"SC"|Yes|"80052744"|"148110068"
"SM"|No |"80052744"|"148110069"
"GC"|No |"80052745"|"148110070"
"GM"|No |"80052745"|"148110071"
"ML"|No |"80052745"|"148110072"
"SC"|Yes|"80052745"|"148110073"
"GM"|No |"80052746"|"148110074"
"SM"|Yes|"80052746"|"148110075"
"CL"|No |"80052747"|"148110076"
"ML"|No |"80052747"|"148110077"
"CL"|No |"80052748"|"148110078"
"GC"|No |"80052748"|"148110079"
"SC"|No |"80052748"|"148110080"
"SC"|No |"80052749"|"148110084"
"GC"|No |"80052749"|"148110083"
"CL-ML"|No |"80052749"|"148110082"
"CL"|No |"80052749"|"148110081"
"CL"|No |"80052751"|"148110085"
"CL-ML"|No |"80052751"|"148110086"
"ML"|No |"80052751"|"148110087"
"GM"|Yes|"80052752"|"148110088"
"SM"|No |"80052752"|"148110089"
"GM"|Yes|"80052753"|"148110090"
"ML"|No |"80052753"|"148110091"
"SC-SM"|No |"80052753"|"148110092"
"SM"|No |"80052753"|"148110093"
"CL"|Yes|"80052755"|"148110094"
"ML"|No |"80052755"|"148110095"
"CH"|No |"80052756"|"148110096"
"CL"|Yes|"80052756"|"148110097"
"GM"|No |"80052757"|"148110098"
"ML"|No |"80052757"|"148110099"
"SM"|No |"80052757"|"148110100"
"GC"|No |"80052759"|"148110101"
"GM"|No |"80052759"|"148110102"
"SC"|Yes|"80052759"|"148110103"
"SM"|No |"80052759"|"148110104"
"GC"|No |"80052760"|"148110105"
"GM"|No |"80052760"|"148110106"
"ML"|No |"80052760"|"148110107"
"SC"|Yes|"80052760"|"148110108"
"GM"|No |"80052761"|"148110109"
"SM"|Yes|"80052761"|"148110110"
"ML"|No |"80052762"|"148110112"
"CL"|No |"80052762"|"148110111"
"GC"|No |"80052763"|"148110113"
"SC"|No |"80052763"|"148110114"
"CL"|No |"80052763"|"148110115"
"CL"|No |"80052764"|"148110116"
"CL-ML"|No |"80052764"|"148110117"
"GC"|No |"80052764"|"148110118"
"SC"|No |"80052764"|"148110119"
"GM"|No |"80052766"|"148110120"
"ML"|No |"80052766"|"148110121"
"SM"|No |"80052766"|"148110122"
"ML"|No |"80052767"|"148110123"
"SM"|No |"80052767"|"148110124"
"GM"|No |"80052768"|"148110125"
"ML"|No |"80052768"|"148110126"
"SM"|No |"80052768"|"148110127"
"GM"|No |"80052769"|"148110128"
"ML"|No |"80052769"|"148110129"
"SC-SM"|No |"80052769"|"148110130"
"SM"|Yes|"80052769"|"148110131"
"CL"|No |"80052770"|"148110132"
"GM"|No |"80052770"|"148110133"
"ML"|No |"80052770"|"148110134"
"SM"|No |"80052770"|"148110135"
"GC-GM"|Yes|"80052770"|"148110136"
"GM"|Yes|"80052771"|"148110137"
"SM"|No |"80052771"|"148110138"
"GM"|No |"80052772"|"148110139"
"ML"|No |"80052772"|"148110140"
"SM"|No |"80052772"|"148110141"
"GP-GM"|No |"80052774"|"148110143"
"GM"|No |"80052774"|"148110142"
"GC"|No |"80052775"|"148110144"
"GM"|No |"80052775"|"148110145"
"ML"|No |"80052775"|"148110146"
"SC"|No |"80052775"|"148110147"
"GC"|No |"80052777"|"148110148"
"GM"|No |"80052777"|"148110149"
"SC"|No |"80052777"|"148110150"
"SM"|No |"80052777"|"148110151"
"GM"|No |"80052778"|"148110152"
"SM"|No |"80052778"|"148110153"
"ML"|No |"80052779"|"148110154"
"CL"|No |"80052781"|"148110155"
"CL-ML"|No |"80052781"|"148110156"
"GC-GM"|No |"80052781"|"148110157"
"SC-SM"|No |"80052781"|"148110158"
"CL"|No |"80052782"|"148110159"
"SC-SM"|Yes|"80052784"|"148110160"
"GC"|No |"80052784"|"148110161"
"GC-GM"|No |"80052784"|"148110162"
"GM"|No |"80052784"|"148110163"
"SM"|No |"80052784"|"148110164"
"SC"|No |"80052784"|"148110165"
"CL"|No |"80052785"|"148110166"
"ML"|Yes|"80052785"|"148110167"
