0|0|0|25|38|51|"Moist"|"280146928"|"178582881"
0|0|0|25|38|51|"Moist"|"280146926"|"178582879"
0|0|0|25|38|51|"Moist"|"280146932"|"178582885"
0|0|0|25|38|51|"Moist"|"280146933"|"178582886"
0|0|0|25|38|51|"Moist"|"280146927"|"178582880"
0|0|0|25|38|51|"Moist"|"280146931"|"178582884"
0|0|0|25|38|51|"Moist"|"280146937"|"178582890"
0|0|0|25|38|51|"Moist"|"280146934"|"178582887"
0|0|0|25|38|51|"Moist"|"280146935"|"178582888"
0|0|0|25|38|51|"Moist"|"280146929"|"178582882"
0|0|0|25|38|51|"Moist"|"280146930"|"178582883"
0|0|0|25|38|51|"Moist"|"280146936"|"178582889"
0|0|0|0|8|15|"Moist"|"280146938"|"178582891"
38|52|64|102|112|152|"Moist"|"280146938"|"178582893"
0|8|15|38|52|64|"Wet"|"280146938"|"178582892"
0|0|0|0|8|15|"Moist"|"280146939"|"178582894"
38|52|64|102|112|152|"Moist"|"280146939"|"178582896"
0|8|15|38|52|64|"Wet"|"280146939"|"178582895"
0|0|0|0|8|15|"Moist"|"280146940"|"178582897"
38|52|64|102|112|152|"Moist"|"280146940"|"178582899"
0|8|15|38|52|64|"Wet"|"280146940"|"178582898"
0|0|0|0|8|15|"Moist"|"280146941"|"178582900"
38|52|64|102|112|152|"Moist"|"280146941"|"178582902"
0|8|15|38|52|64|"Wet"|"280146941"|"178582901"
38|52|64|102|112|152|"Moist"|"280146942"|"178582905"
0|0|0|0|8|15|"Moist"|"280146942"|"178582903"
0|8|15|38|52|64|"Wet"|"280146942"|"178582904"
0|0|0|102|112|152|"Moist"|"280146943"|"178582906"
0|0|0|102|112|152|"Moist"|"280146944"|"178582907"
0|0|0|102|112|152|"Moist"|"280146945"|"178582908"
0|0|0|102|112|152|"Moist"|"280146946"|"178582909"
0|0|0|102|112|152|"Moist"|"280146947"|"178582910"
0|0|0|0|8|15|"Moist"|"280146948"|"178582911"
38|52|64|102|112|152|"Moist"|"280146948"|"178582913"
0|8|15|38|52|64|"Wet"|"280146948"|"178582912"
38|52|64|102|112|152|"Moist"|"280146949"|"178582916"
0|0|0|0|8|15|"Moist"|"280146949"|"178582914"
0|8|15|38|52|64|"Wet"|"280146949"|"178582915"
0|0|0|51|56|102|"Moist"|"280146954"|"178582921"
0|0|0|51|56|102|"Moist"|"280146953"|"178582920"
0|0|0|51|56|102|"Moist"|"280146957"|"178582924"
0|0|0|51|56|102|"Moist"|"280146950"|"178582917"
0|0|0|51|56|102|"Moist"|"280146958"|"178582925"
0|0|0|51|56|102|"Moist"|"280146956"|"178582923"
0|0|0|51|56|102|"Moist"|"280146955"|"178582922"
0|0|0|51|56|102|"Moist"|"280146951"|"178582918"
0|0|0|51|56|102|"Moist"|"280146961"|"178582928"
0|0|0|51|56|102|"Moist"|"280146960"|"178582927"
0|0|0|51|56|102|"Moist"|"280146959"|"178582926"
0|0|0|51|56|102|"Moist"|"280146952"|"178582919"
0|0|0|15|38|46|"Moist"|"280146968"|"178582940"
38|61|76|183|183|183|"Moist"|"280146968"|"178582939"
15|38|46|38|61|76|"Wet"|"280146968"|"178582941"
0|0|0|15|38|46|"Moist"|"280146964"|"178582931"
38|61|76|183|183|183|"Moist"|"280146964"|"178582933"
15|38|46|38|61|76|"Wet"|"280146964"|"178582932"
0|0|0|15|38|46|"Moist"|"280146970"|"178582943"
38|61|76|183|183|183|"Moist"|"280146970"|"178582945"
15|38|46|38|61|76|"Wet"|"280146970"|"178582944"
0|0|0|183|183|183|"Moist"|"280146965"|"178582934"
0|0|0|183|183|183|"Moist"|"280146971"|"178582946"
0|0|0|183|183|183|"Moist"|"280146967"|"178582938"
0|0|0|183|183|183|"Moist"|"280146972"|"178582947"
0|0|0|183|183|183|"Moist"|"280146962"|"178582929"
0|0|0|183|183|183|"Moist"|"280146963"|"178582930"
0|0|0|183|183|183|"Moist"|"280146969"|"178582942"
0|0|0|15|38|46|"Moist"|"280146966"|"178582935"
38|61|76|183|183|183|"Moist"|"280146966"|"178582937"
15|38|46|38|61|76|"Wet"|"280146966"|"178582936"
0|0|0|15|38|46|"Moist"|"280146973"|"178582948"
38|61|76|183|183|183|"Moist"|"280146973"|"178582950"
15|38|46|38|61|76|"Wet"|"280146973"|"178582949"
40|52|64|183|183|183||"280142084"|"178579840"
0|0|0|0|8|15||"280142084"|"178579841"
0|8|15|40|52|64|"Wet"|"280142084"|"178579842"
40|52|64|183|183|183||"280142079"|"178579825"
0|0|0|0|8|15||"280142079"|"178579826"
0|8|15|40|52|64|"Wet"|"280142079"|"178579827"
40|52|64|183|183|183||"280142083"|"178579837"
0|0|0|0|8|15||"280142083"|"178579838"
0|8|15|40|52|64|"Wet"|"280142083"|"178579839"
40|52|64|183|183|183||"280142078"|"178579822"
0|0|0|0|8|15||"280142078"|"178579823"
0|8|15|40|52|64|"Wet"|"280142078"|"178579824"
0|0|0|0|8|15||"280142080"|"178579829"
40|52|64|183|183|183||"280142080"|"178579828"
0|8|15|40|52|64|"Wet"|"280142080"|"178579830"
40|52|64|183|183|183||"280142082"|"178579834"
0|0|0|0|8|15||"280142082"|"178579835"
0|8|15|40|52|64|"Wet"|"280142082"|"178579836"
40|52|64|183|183|183||"280142081"|"178579831"
0|0|0|0|8|15||"280142081"|"178579832"
0|8|15|40|52|64|"Wet"|"280142081"|"178579833"
36|61|76|183|183|183||"280142094"|"178579849"
0|0|0|15|31|46||"280142094"|"178579850"
15|31|46|36|61|76|"Wet"|"280142094"|"178579851"
36|61|76|183|183|183||"280142093"|"178579846"
0|0|0|15|31|46||"280142093"|"178579847"
