"Summit"|"43195142"|"18014925"
"Summit"|"43195152"|"18014944"
"Summit"|"43195151"|"18014942"
"Shoulder"|"43195151"|"18014943"
"Footslope"|"43195150"|"18014940"
"Toeslope"|"43195150"|"18014941"
"Shoulder"|"43195149"|"18014938"
"Backslope"|"43195149"|"18014939"
"Summit"|"43195481"|"18015138"
"Shoulder"|"43195481"|"18015139"
"Summit"|"43195148"|"18014936"
"Shoulder"|"43195148"|"18014937"
"Footslope"|"43195147"|"18014934"
"Toeslope"|"43195147"|"18014935"
"Shoulder"|"43195146"|"18014932"
"Backslope"|"43195146"|"18014933"
"Footslope"|"43194902"|"18014481"
"Footslope"|"43194901"|"18014480"
"Toeslope"|"43194901"|"18014479"
"Summit"|"43194900"|"18014478"
"Summit"|"43194899"|"18014475"
"Shoulder"|"43194899"|"18014476"
"Backslope"|"43194899"|"18014477"
"Summit"|"43194898"|"18014472"
"Shoulder"|"43194898"|"18014473"
"Backslope"|"43194898"|"18014474"
"Summit"|"43194897"|"18014470"
"Shoulder"|"43194897"|"18014471"
"Summit"|"43194896"|"18014467"
"Shoulder"|"43194896"|"18014468"
"Backslope"|"43194896"|"18014469"
"Summit"|"43194895"|"18014466"
"Summit"|"43194894"|"18014465"
"Summit"|"43194893"|"18014463"
"Shoulder"|"43194893"|"18014464"
"Footslope"|"43194892"|"18014462"
"Toeslope"|"43194891"|"18014461"
"Footslope"|"43194889"|"18014457"
"Toeslope"|"43194889"|"18014458"
"Footslope"|"43194890"|"18014459"
"Toeslope"|"43194890"|"18014460"
|"43195281"|"18015133"
"Shoulder"|"43195240"|"18015100"
"Shoulder"|"43195239"|"18015098"
"Backslope"|"43195239"|"18015099"
"Footslope"|"43195238"|"18015097"
"Toeslope"|"43195238"|"18015096"
"Shoulder"|"43195232"|"18015088"
"Shoulder"|"43195231"|"18015087"
"Backslope"|"43195231"|"18015086"
"Footslope"|"43195230"|"18015084"
"Toeslope"|"43195230"|"18015085"
"Shoulder"|"43195229"|"18015082"
"Backslope"|"43195229"|"18015083"
"Shoulder"|"43194888"|"18014456"
"Shoulder"|"43194887"|"18014455"
"Summit"|"43194886"|"18014452"
"Shoulder"|"43194886"|"18014453"
"Backslope"|"43194886"|"18014454"
"Shoulder"|"43194885"|"18014451"
"Backslope"|"43194885"|"18014450"
"Shoulder"|"43194884"|"18014449"
"Backslope"|"43194884"|"18014448"
"Footslope"|"43194883"|"18014446"
"Toeslope"|"43194883"|"18014447"
"Footslope"|"43195126"|"18014904"
"Toeslope"|"43195126"|"18014903"
"Footslope"|"43195125"|"18014902"
"Footslope"|"43195124"|"18014901"
"Toeslope"|"43195124"|"18014900"
"Summit"|"43195123"|"18014899"
"Summit"|"43195122"|"18014898"
"Footslope"|"43195121"|"18014896"
"Toeslope"|"43195121"|"18014897"
"Summit"|"43195120"|"18014895"
"Footslope"|"43195119"|"18014894"
"Summit"|"43195118"|"18014893"
"Footslope"|"43195228"|"18015081"
"Toeslope"|"43195228"|"18015080"
"Toeslope"|"43195227"|"18015079"
"Footslope"|"43195226"|"18015078"
"Toeslope"|"43195226"|"18015077"
"Footslope"|"43195225"|"18015076"
"Toeslope"|"43195225"|"18015075"
"Footslope"|"43195224"|"18015074"
"Toeslope"|"43195224"|"18015073"
"Toeslope"|"43195223"|"18015072"
"Backslope"|"43195222"|"18015071"
"Footslope"|"43195222"|"18015070"
"Footslope"|"43195221"|"18015069"
"Toeslope"|"43195221"|"18015068"
"Toeslope"|"43195220"|"18015067"
"Footslope"|"43195219"|"18015065"
"Toeslope"|"43195219"|"18015066"
"Footslope"|"43195218"|"18015063"
"Toeslope"|"43195218"|"18015064"
|"43195541"|"18015140"
"Footslope"|"43195217"|"18015062"
"Toeslope"|"43195217"|"18015061"
"Toeslope"|"43195255"|"18015123"
"Toeslope"|"43195254"|"18015122"
"Toeslope"|"43195253"|"18015121"
"Shoulder"|"43195141"|"18014924"
"Backslope"|"43195141"|"18014923"
"Shoulder"|"43195140"|"18014922"
"Backslope"|"43195140"|"18014921"
"Shoulder"|"43195139"|"18014919"
"Backslope"|"43195139"|"18014920"
"Shoulder"|"43195138"|"18014917"
"Backslope"|"43195138"|"18014918"
"Shoulder"|"43195137"|"18014915"
"Backslope"|"43195137"|"18014916"
"Summit"|"43195136"|"18014914"
"Summit"|"43195109"|"18014878"
"Shoulder"|"43195108"|"18014876"
"Backslope"|"43195108"|"18014877"
"Shoulder"|"43195107"|"18014875"
"Backslope"|"43195107"|"18014874"
"Shoulder"|"43195106"|"18014873"
"Backslope"|"43195106"|"18014872"
"Shoulder"|"43195105"|"18014870"
"Backslope"|"43195105"|"18014871"
"Shoulder"|"43195104"|"18014868"
"Backslope"|"43195104"|"18014869"
"Shoulder"|"43194982"|"18014624"
"Backslope"|"43194982"|"18014625"
"Backslope"|"43194981"|"18014623"
"Footslope"|"43194981"|"18014622"
"Footslope"|"43195131"|"18014909"
"Footslope"|"43195129"|"18014908"
"Footslope"|"43195128"|"18014907"
"Backslope"|"43195127"|"18014906"
"Footslope"|"43195127"|"18014905"
"Summit"|"43195252"|"18015120"
"Backslope"|"43195252"|"18015118"
"Footslope"|"43195252"|"18015119"
"Shoulder"|"43195251"|"18015117"
"Summit"|"43195250"|"18015116"
"Backslope"|"43195250"|"18015114"
"Footslope"|"43195250"|"18015115"
"Summit"|"43195249"|"18015113"
"Footslope"|"43195248"|"18015111"
"Toeslope"|"43195248"|"18015112"
"Summit"|"43195117"|"18014891"
"Backslope"|"43195117"|"18014892"
"Footslope"|"43195117"|"18014890"
"Footslope"|"43195116"|"18014889"
"Toeslope"|"43195115"|"18014888"
"Toeslope"|"43195114"|"18014887"
"Footslope"|"43194980"|"18014621"
"Toeslope"|"43194980"|"18014620"
"Shoulder"|"43194978"|"18014617"
"Backslope"|"43194978"|"18014618"
"Backslope"|"43194979"|"18014619"
"Shoulder"|"43194976"|"18014614"
"Backslope"|"43194976"|"18014615"
"Backslope"|"43194977"|"18014616"
"Footslope"|"43194975"|"18014613"
"Toeslope"|"43194975"|"18014612"
"Shoulder"|"43194973"|"18014609"
"Backslope"|"43194973"|"18014610"
"Backslope"|"43194974"|"18014611"
"Shoulder"|"43194972"|"18014608"
"Backslope"|"43194972"|"18014607"
"Shoulder"|"43194971"|"18014606"
"Shoulder"|"43194970"|"18014605"
"Backslope"|"43194970"|"18014604"
"Summit"|"43194969"|"18014601"
"Shoulder"|"43194969"|"18014602"
"Backslope"|"43194969"|"18014603"
"Shoulder"|"43194968"|"18014600"
"Summit"|"43194967"|"18014597"
"Shoulder"|"43194967"|"18014598"
"Backslope"|"43194967"|"18014599"
"Summit"|"43194966"|"18014596"
"Footslope"|"43194965"|"18014594"
"Toeslope"|"43194965"|"18014595"
"Shoulder"|"43194964"|"18014593"
"Backslope"|"43194964"|"18014592"
"Shoulder"|"43194963"|"18014591"
"Backslope"|"43194963"|"18014590"
"Shoulder"|"43194962"|"18014589"
"Summit"|"43194961"|"18014586"
"Shoulder"|"43194961"|"18014587"
"Backslope"|"43194961"|"18014588"
"Shoulder"|"43194960"|"18014585"
"Shoulder"|"43194959"|"18014584"
"Backslope"|"43194959"|"18014583"
"Footslope"|"43194958"|"18014581"
"Toeslope"|"43194958"|"18014582"
"Shoulder"|"43194957"|"18014579"
"Backslope"|"43194957"|"18014580"
"Shoulder"|"43194956"|"18014578"
"Backslope"|"43194955"|"18014577"
"Shoulder"|"43194954"|"18014576"
"Backslope"|"43194954"|"18014575"
"Shoulder"|"43194953"|"18014574"
"Backslope"|"43194953"|"18014573"
"Footslope"|"43194952"|"18014571"
"Toeslope"|"43194952"|"18014572"
"Summit"|"43194951"|"18014568"
"Shoulder"|"43194951"|"18014569"
"Backslope"|"43194951"|"18014570"
"Footslope"|"43194950"|"18014567"
"Footslope"|"43194949"|"18014566"
"Footslope"|"43194948"|"18014565"
"Toeslope"|"43194948"|"18014564"
"Toeslope"|"43194947"|"18014563"
"Summit"|"43195216"|"18015060"
"Footslope"|"43195216"|"18015059"
"Summit"|"43195215"|"18015056"
"Shoulder"|"43195215"|"18015057"
"Backslope"|"43195215"|"18015058"
"Summit"|"43195214"|"18015055"
"Footslope"|"43195214"|"18015054"
"Summit"|"43195213"|"18015051"
"Shoulder"|"43195213"|"18015052"
"Backslope"|"43195213"|"18015053"
"Summit"|"43195212"|"18015050"
"Footslope"|"43195212"|"18015049"
"Summit"|"43195211"|"18015046"
"Shoulder"|"43195211"|"18015047"
"Backslope"|"43195211"|"18015048"
"Summit"|"43195210"|"18015043"
"Shoulder"|"43195210"|"18015044"
"Backslope"|"43195210"|"18015045"
"Summit"|"43195209"|"18015042"
"Shoulder"|"43195209"|"18015041"
"Summit"|"43195208"|"18015038"
"Shoulder"|"43195208"|"18015039"
"Backslope"|"43195208"|"18015040"
"Toeslope"|"43195207"|"18015037"
"Toeslope"|"43195206"|"18015036"
"Summit"|"43195205"|"18015033"
"Shoulder"|"43195205"|"18015034"
"Backslope"|"43195205"|"18015035"
"Summit"|"43195204"|"18015032"
"Shoulder"|"43195204"|"18015031"
"Summit"|"43195203"|"18015028"
"Shoulder"|"43195203"|"18015029"
"Backslope"|"43195203"|"18015030"
"Shoulder"|"43195202"|"18015027"
"Shoulder"|"43195201"|"18015026"
"Backslope"|"43195201"|"18015025"
"Shoulder"|"43195200"|"18015024"
"Backslope"|"43195200"|"18015023"
"Shoulder"|"43195199"|"18015022"
"Backslope"|"43195199"|"18015021"
"Shoulder"|"43195198"|"18015020"
"Shoulder"|"43195197"|"18015019"
